,,2/1/2023,2/1/2023,2/1/2023,2/1/2023,2/2/2023,2/2/2023,2/2/2023,2/2/2023,2/3/2023,2/3/2023,2/3/2023,2/3/2023,2/4/2023,2/4/2023,2/4/2023,2/4/2023,2/5/2023,2/5/2023,2/5/2023,2/5/2023,2/6/2023,2/6/2023,2/6/2023,2/6/2023,2/7/2023,2/7/2023,2/7/2023,2/7/2023,2/8/2023,2/8/2023,2/8/2023,2/8/2023,2/9/2023,2/9/2023,2/9/2023,2/9/2023,2/10/2023,2/10/2023,2/10/2023,2/10/2023,2/11/2023,2/11/2023,2/11/2023,2/11/2023,2/12/2023,2/12/2023,2/12/2023,2/12/2023,2/13/2023,2/13/2023,2/13/2023,2/13/2023,2/14/2023,2/14/2023,2/14/2023,2/14/2023,2/15/2023,2/15/2023,2/15/2023,2/15/2023,2/16/2023,2/16/2023,2/16/2023,2/16/2023,2/17/2023,2/17/2023,2/17/2023,2/17/2023,2/18/2023,2/18/2023,2/18/2023,2/18/2023,2/19/2023,2/19/2023,2/19/2023,2/19/2023,2/20/2023,2/20/2023,2/20/2023,2/20/2023,2/21/2023,2/21/2023,2/21/2023,2/21/2023,2/22/2023,2/22/2023,2/22/2023,2/22/2023,2/23/2023,2/23/2023,2/23/2023,2/23/2023,2/24/2023,2/24/2023,2/24/2023,2/24/2023,2/25/2023,2/25/2023,2/25/2023,2/25/2023,2/26/2023,2/26/2023,2/26/2023,2/26/2023,2/27/2023,2/27/2023,2/27/2023,2/27/2023,2/28/2023,2/28/2023,2/28/2023,2/28/2023,,,,
DC,User ID,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves,Hours Worked,MPH,On-Time Moves %,Completed Moves (Total),Hours Worked (Total),MPH (Total),On-Time Moves % (Total)
590,A582797,48,11,4.36,87.50%,46,10,4.6,82.61%,44,10,4.4,90.91%,7,2,3.5,100.00%,,,,,,,,,28,8,3.5,89.29%,23,4,5.75,73.91%,39,8,4.88,92.31%,46,10,4.6,93.48%,11,2,5.5,63.64%,,,,,,,,,29,8,3.63,96.55%,45,10,4.5,93.33%,37,10,3.7,94.59%,14,5,2.8,92.86%,,,,,,,,,,,,,21,8,2.63,90.48%,35,10,3.5,74.29%,37,8,4.63,78.38%,35,10,3.5,71.43%,8,2,4,100.00%,,,,,,,,,,,,,553,136,4.07,86.80%
590,A593317,29,9,3.22,86.21%,18,10,1.8,88.89%,21,10,2.1,66.67%,11,3,3.67,72.73%,45,12,3.75,88.89%,,,,,29,10,2.9,89.66%,31,10,3.1,93.55%,29,10,2.9,96.55%,28,9,3.11,89.29%,,,,,26,6,4.33,84.62%,,,,,45,10,4.5,95.56%,34,10,3.4,97.06%,30,10,3,86.67%,40,10,4,80.00%,,,,,,,,,16,5,3.2,100.00%,30,10,3,96.67%,21,8,2.63,90.48%,27,9,3,74.07%,,,,,,,,,,,,,27,9,3,74.07%,22,9,2.44,95.45%,559,179,3.12,88.01%
590,A617437,56,11,5.09,98.21%,44,10,4.4,93.18%,62,11,5.64,64.52%,,,,,,,,,,,,,48,10,4.8,93.75%,46,10,4.6,95.65%,48,11,4.36,93.75%,46,10,4.6,89.13%,,,,,,,,,,,,,46,10,4.6,95.65%,55,10,5.5,98.18%,40,10,4,92.50%,55,10,5.5,89.09%,,,,,,,,,,,,,51,10,5.1,96.08%,49,10,4.9,95.92%,45,10,4.5,82.22%,50,10,5,76.00%,,,,,,,,,,,,,52,10,5.2,98.08%,793,163,4.87,90.42%
590,A621666,,,,,27,10,2.7,100.00%,44,10,4.4,90.91%,5,2,2.5,40.00%,,,,,,,,,,,,,,,,,,,,,21,8,2.63,90.48%,,,,,27,7,3.86,96.30%,,,,,,,,,,,,,22,9,2.44,77.27%,16,8,2,93.75%,,,,,,,,,,,,,,,,,20,7,2.86,100.00%,4,2,2,75.00%,38,10,3.8,76.32%,,,,,,,,,,,,,,,,,224,73,3.07,88.39%
590,A632200,40,9,4.44,100.00%,,,,,4,2,2,100.00%,18,6,3,94.44%,28,12,2.33,96.43%,32,12,2.67,96.88%,16,4,4,100.00%,42,10,4.2,100.00%,33,10,3.3,96.97%,,,,,17,5,3.4,100.00%,38,9,4.22,100.00%,29,11,2.64,96.55%,16,5,3.2,93.75%,,,,,,,,,,,,,19,6,3.17,94.74%,36,12,3,100.00%,34,11,3.09,94.12%,15,6,2.5,100.00%,,,,,,,,,,,,,,,,,19,6,3.17,100.00%,38,11,3.45,94.74%,15,5,3,100.00%,489,152,3.22,97.75%
590,A633224,,,,,,,,,,,,,80,12,6.67,70.00%,51,12,4.25,90.20%,34,11,3.09,100.00%,,,,,,,,,,,,,,,,,54,11,4.91,83.33%,25,7,3.57,92.00%,,,,,,,,,,,,,,,,,,,,,50,11,4.55,86.00%,39,11,3.55,94.87%,41,9,4.56,90.24%,,,,,,,,,,,,,,,,,50,11,4.55,72.00%,48,10,4.8,89.58%,,,,,,,,,472,105,4.5,84.75%
590,A634341,,,,,,,,,,,,,69,13,5.31,81.16%,42,12,3.5,95.24%,55,12,4.58,87.27%,,,,,,,,,,,,,,,,,48,12,4,91.67%,19,6,3.17,73.68%,21,6,3.5,85.71%,,,,,,,,,,,,,,,,,38,12,3.17,100.00%,30,11,2.73,90.00%,48,12,4,83.33%,,,,,,,,,,,,,,,,,47,12,3.92,76.60%,43,11,3.91,86.05%,54,12,4.5,87.04%,,,,,514,131,3.92,86.58%
590,A639084,,,,,,,,,,,,,61,12,5.08,65.57%,39,12,3.25,79.49%,45,12,3.75,80.00%,,,,,,,,,,,,,22,6,3.67,90.91%,39,12,3.25,69.23%,54,12,4.5,79.63%,40,12,3.33,82.50%,,,,,,,,,,,,,,,,,,,,,30,11,2.73,100.00%,38,12,3.17,81.58%,,,,,,,,,,,,,,,,,45,12,3.75,84.44%,42,12,3.5,95.24%,48,12,4,89.58%,,,,,503,137,3.67,81.91%
590,A639650,48,11,4.36,91.67%,48,10,4.8,79.17%,42,11,3.82,90.48%,5,2,2.5,100.00%,,,,,,,,,28,7,4,85.71%,52,10,5.2,78.85%,42,10,4.2,90.48%,38,10,3.8,92.11%,12,2,6,83.33%,,,,,,,,,22,7,3.14,95.45%,41,10,4.1,95.12%,32,10,3.2,90.63%,39,10,3.9,94.87%,8,2,4,100.00%,,,,,,,,,27,8,3.38,92.59%,11,2,5.5,100.00%,33,8,4.13,69.70%,42,10,4.2,73.81%,12,2,6,100.00%,,,,,,,,,45,8,5.63,80.00%,627,150,4.18,86.92%
590,A641013,35,9,3.89,91.43%,38,10,3.8,78.95%,48,11,4.36,79.17%,9,3,3,44.44%,,,,,,,,,32,10,3.2,96.88%,32,10,3.2,84.38%,35,10,3.5,94.29%,36,10,3.6,83.33%,,,,,,,,,,,,,50,10,5,86.00%,46,10,4.6,89.13%,41,10,4.1,82.93%,42,10,4.2,76.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,113,3.93,84.46%
590,A641937,61,10,6.1,98.36%,34,9,3.78,94.12%,59,11,5.36,100.00%,2,2,1,100.00%,,,,,,,,,23,8,2.88,91.30%,49,10,4.9,75.51%,38,10,3.8,89.47%,23,6,3.83,86.96%,,,,,,,,,,,,,22,8,2.75,100.00%,36,10,3.6,91.67%,29,10,2.9,86.21%,31,10,3.1,90.32%,6,2,3,100.00%,,,,,,,,,21,8,2.63,95.24%,45,10,4.5,95.56%,4,2,2,75.00%,,,,,,,,,,,,,,,,,35,8,4.38,62.86%,518,134,3.87,90.15%
590,A642083,45,11,4.09,86.67%,39,10,3.9,66.67%,66,10,6.6,72.73%,,,,,,,,,,,,,46,10,4.6,86.96%,40,10,4,95.00%,29,10,2.9,86.21%,41,10,4.1,85.37%,,,,,,,,,,,,,43,10,4.3,76.74%,47,10,4.7,89.36%,41,10,4.1,97.56%,48,10,4.8,75.00%,,,,,,,,,,,,,45,10,4.5,95.56%,35,10,3.5,88.57%,40,10,4,82.50%,46,10,4.6,63.04%,,,,,,,,,,,,,36,10,3.6,100.00%,687,161,4.27,83.55%
590,A642379,56,11,5.09,91.07%,43,10,4.3,95.35%,56,10,5.6,80.36%,,,,,,,,,20,5,4,95.00%,47,9,5.22,93.62%,52,10,5.2,92.31%,43,10,4.3,95.35%,,,,,,,,,,,,,18,5,3.6,94.44%,52,10,5.2,96.15%,48,10,4.8,89.58%,38,10,3.8,84.21%,42,10,4.2,88.10%,,,,,,,,,,,,,54,10,5.4,88.89%,40,10,4,87.50%,,,,,41,10,4.1,60.98%,,,,,,,,,,,,,47,10,4.7,93.62%,697,150,4.65,88.95%
590,A642550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,2.83,70.59%,21,5,4.2,66.67%,,,,,,,,,38,11,3.45,68.42%
590,A642840,,,,,,,,,24,8,3,95.83%,61,9,6.78,95.08%,36,11,3.27,88.89%,33,10,3.3,100.00%,7,4,1.75,100.00%,,,,,41,10,4.1,100.00%,20,7,2.86,80.00%,18,4,4.5,83.33%,15,5,3,100.00%,10,5,2,90.00%,4,2,2,100.00%,,,,,,,,,,,,,23,5,4.6,91.30%,31,12,2.58,96.77%,28,9,3.11,89.29%,21,6,3.5,100.00%,,,,,33,10,3.3,87.88%,,,,,20,6,3.33,100.00%,42,11,3.82,92.86%,57,12,4.75,96.49%,66,12,5.5,81.82%,590,158,3.73,92.71%
590,A642929,,,,,,,,,20,8,2.5,100.00%,30,7,4.29,90.00%,37,11,3.36,78.38%,21,9,2.33,95.24%,12,6,2,91.67%,,,,,,,,,,,,,23,5,4.6,95.65%,33,10,3.3,87.88%,34,10,3.4,88.24%,20,5,4,100.00%,27,8,3.38,100.00%,9,2,4.5,100.00%,,,,,23,6,3.83,86.96%,34,10,3.4,97.06%,31,10,3.1,87.10%,22,6,3.67,100.00%,16,6,2.67,100.00%,,,,,,,,,26,6,4.33,92.31%,50,11,4.55,90.00%,52,11,4.73,88.46%,13,4,3.25,84.62%,533,151,3.53,91.56%
590,A643004,,,,,,,,,,,,,,,,,,,,,19,8,2.38,84.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,3.88,87.10%,33,10,3.3,60.61%,,,,,,,,,3,2,1.5,66.67%,,,,,86,28,3.07,75.58%
590,A643255,3,3,1,66.67%,,,,,,,,,,,,,,,,,,,,,34,8,4.25,100.00%,64,9,7.11,84.38%,47,10,4.7,97.87%,41,9,4.56,92.68%,1,1,1,100.00%,,,,,,,,,38,8,4.75,97.37%,49,9,5.44,100.00%,39,8,4.88,97.44%,41,9,4.56,95.12%,,,,,,,,,,,,,30,7,4.29,93.33%,15,2,7.5,100.00%,47,8,5.88,80.85%,47,9,5.22,91.49%,2,1,2,100.00%,,,,,,,,,34,8,4.25,73.53%,532,109,4.88,91.92%
590,A644891,72,11,6.55,97.22%,60,11,5.45,90.00%,60,11,5.45,83.33%,,,,,,,,,,,,,67,10,6.7,97.01%,63,11,5.73,96.83%,55,11,5,96.36%,57,11,5.18,98.25%,29,7,4.14,86.21%,,,,,70,11,6.36,91.43%,65,10,6.5,95.38%,40,11,3.64,90.00%,38,10,3.8,71.05%,48,10,4.8,79.17%,90,12,7.5,87.78%,39,10,3.9,84.62%,,,,,113,10,11.3,93.81%,66,10,6.6,95.45%,54,10,5.4,85.19%,75,10,7.5,82.67%,,,,,,,,,,,,,55,10,5.5,98.18%,"1,216",207,5.87,90.79%
590,A647150,,,,,12,4,3,91.67%,,,,,,,,,21,6,3.5,95.24%,38,10,3.8,100.00%,14,6,2.33,92.86%,,,,,,,,,,,,,49,12,4.08,97.96%,39,10,3.9,76.92%,38,12,3.17,84.21%,,,,,18,5,3.6,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,65,3.52,91.70%
590,A648278,60,11,5.45,80.00%,34,10,3.4,82.35%,48,11,4.36,85.42%,20,3,6.67,95.00%,,,,,,,,,29,8,3.63,93.10%,46,9,5.11,86.96%,39,10,3.9,76.92%,12,2,6,83.33%,,,,,,,,,,,,,27,8,3.38,92.59%,46,11,4.18,91.30%,33,10,3.3,93.94%,38,10,3.8,94.74%,8,2,4,87.50%,6,2,3,100.00%,,,,,28,8,3.5,89.29%,34,10,3.4,88.24%,10,3,3.33,70.00%,,,,,,,,,,,,,,,,,46,10,4.6,91.30%,564,138,4.09,87.59%
590,A648974,,,,,,,,,,,,,51,12,4.25,58.82%,36,11,3.27,91.67%,35,11,3.18,97.14%,18,7,2.57,83.33%,,,,,,,,,,,,,26,12,2.17,88.46%,,,,,39,12,3.25,89.74%,24,8,3,95.83%,,,,,9,4,2.25,100.00%,,,,,33,12,2.75,96.97%,23,10,2.3,91.30%,37,10,3.7,89.19%,34,10,3.4,94.12%,,,,,,,,,,,,,,,,,,,,,,,,,34,10,3.4,97.06%,399,129,3.09,88.47%
590,A649092,54,11,4.91,83.33%,36,10,3.6,80.56%,50,11,4.55,80.00%,14,3,4.67,64.29%,,,,,,,,,30,8,3.75,86.67%,56,10,5.6,75.00%,46,10,4.6,89.13%,52,10,5.2,92.31%,10,2,5,60.00%,,,,,,,,,32,8,4,93.75%,12,2,6,83.33%,36,8,4.5,88.89%,39,10,3.9,97.44%,11,3,3.67,100.00%,,,,,,,,,30,8,3.75,63.33%,38,10,3.8,92.11%,45,11,4.09,71.11%,46,10,4.6,71.74%,13,2,6.5,100.00%,,,,,18,3,6,94.44%,64,12,5.33,78.13%,732,162,4.52,82.79%
590,A649477,,,,,22,8,2.75,100.00%,20,3,6.67,95.00%,16,6,2.67,93.75%,28,12,2.33,85.71%,30,12,2.5,100.00%,12,6,2,100.00%,,,,,,,,,1,1,1,100.00%,23,6,3.83,95.65%,42,11,3.82,100.00%,41,10,4.1,100.00%,19,5,3.8,94.74%,,,,,,,,,,,,,25,5,5,96.00%,36,11,3.27,97.22%,54,11,4.91,98.15%,16,6,2.67,100.00%,,,,,10,5,2,100.00%,10,2,5,70.00%,27,5,5.4,92.59%,49,11,4.45,85.71%,23,6,3.83,100.00%,,,,,504,142,3.55,95.44%
590,A649672,,,,,,,,,,,,,55,12,4.58,52.73%,53,11,4.82,90.57%,44,10,4.4,95.45%,,,,,,,,,,,,,,,,,49,12,4.08,93.88%,59,12,4.92,83.05%,56,12,4.67,91.07%,,,,,,,,,,,,,,,,,50,12,4.17,98.00%,50,11,4.55,94.00%,65,12,5.42,95.38%,,,,,,,,,,,,,,,,,58,12,4.83,77.59%,49,11,4.45,85.71%,64,12,5.33,93.75%,,,,,652,139,4.69,87.42%
590,A649760,61,11,5.55,93.44%,10,2,5,90.00%,,,,,19,6,3.17,100.00%,40,11,3.64,87.50%,33,12,2.75,93.94%,22,6,3.67,100.00%,,,,,,,,,,,,,26,5,5.2,96.15%,41,12,3.42,100.00%,44,11,4,97.73%,27,6,4.5,92.59%,,,,,12,3,4,91.67%,,,,,23,6,3.83,73.91%,40,12,3.33,95.00%,43,12,3.58,95.35%,19,6,3.17,100.00%,,,,,,,,,33,8,4.13,81.82%,33,7,4.71,93.94%,45,11,4.09,97.78%,35,6,5.83,100.00%,19,6,3.17,94.74%,625,159,3.93,94.08%
590,A650079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,9,3.89,82.86%,,,,,,,,,51,12,4.25,68.63%,40,12,3.33,80.00%,54,12,4.5,77.78%,,,,,180,45,4,76.67%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported at: 03/29/2023 4:14:12 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card ID: 63192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card Name: Driver Performance by Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are all rows displayed: yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of rows: 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period: 2023-02-01/2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Time Window:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begin: 2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End: 2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
